# Eclipse JDT formatter option inventory — the complete `org.eclipse.jdt.core.formatter.*` id set.
#
# Extracted from org.eclipse.jdt.core @ master:
#   formatter/org/eclipse/jdt/core/formatter/DefaultCodeFormatterConstants.java   (the ids)
#   formatter/org/eclipse/jdt/internal/formatter/DefaultCodeFormatterOptions.java (value kinds)
#
# Columns: id <TAB> value-kind <TAB> status
#   value-kind: insert | bool | int | alignment | brace | one-line | paren | tab-char |
#               text-block-indent | string
#   status:     live   = written back by DefaultCodeFormatterOptions.getMap()
#               legacy = deprecated id still honored on read, fanned out into finer settings
#
# `import::eclipse`'s coverage test asserts every row here is captured by the model.
number_of_blank_lines_at_beginning_of_code_block	int	live
number_of_blank_lines_at_beginning_of_method_body	int	live
number_of_blank_lines_at_end_of_code_block	int	live
number_of_blank_lines_at_end_of_method_body	int	live
number_of_blank_lines_before_code_block	int	live
number_of_empty_lines_to_preserve	int	live
parentheses_positions_in_annotation	paren	live
parentheses_positions_in_catch_clause	paren	live
parentheses_positions_in_enum_constant_declaration	paren	live
parentheses_positions_in_for_statment	paren	live
parentheses_positions_in_if_while_statement	paren	live
parentheses_positions_in_lambda_declaration	paren	live
parentheses_positions_in_method_delcaration	paren	live
parentheses_positions_in_method_invocation	paren	live
parentheses_positions_in_record_declaration	paren	live
parentheses_positions_in_switch_statement	paren	live
parentheses_positions_in_try_clause	paren	live
put_empty_statement_on_new_line	bool	live
put_text_block_quotes_on_new_line	bool	live
tabulation.char	tab-char	live
tabulation.size	int	live
text_block_indentation	text-block-indent	live
use_on_off_tags	bool	live
use_tabs_only_for_leading_indentations	bool	live
wrap_before_additive_operator	bool	live
wrap_before_assertion_message_operator	bool	live
wrap_before_assignment_operator	bool	live
wrap_before_binary_operator	bool	legacy
wrap_before_bitwise_operator	bool	live
wrap_before_conditional_operator	bool	live
wrap_before_logical_operator	bool	live
wrap_before_multiplicative_operator	bool	live
wrap_before_or_operator_multicatch	bool	live
wrap_before_relational_operator	bool	live
wrap_before_shift_operator	bool	live
wrap_before_string_concatenation	bool	live
wrap_before_switch_case_arrow_operator	bool	live
wrap_outer_expressions_when_nested	bool	live
